OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Enterococcaceae,SRR29055168,0.013132088343139763,16,Fecal,True Sample,2,JI-672,WT,Female,High_Fat_Diet,HDM,None,13
Eggerthellaceae,SRR29055059,0.013111502864698105,333,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,0
Helicobacteraceae,SRR29055012,0.01310763238708711,51,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Desulfovibrionaceae,SRR29055173,0.013063555717584153,279,Fecal,True Sample,2,JI-753,KO,Male,High_Fat_Diet,HDM,Sham,13
Ruminococcaceae,SRR29055092,0.01304667401690555,234,Fecal,True Sample,2,JI-740,WT,Male,Normal_Chow,HDM,None,0
Sutterellaceae,SRR29055106,0.013026901080279601,9,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,13
Desulfovibrionaceae,SRR29055085,0.013021525378687218,240,Fecal,True Sample,2,JI-737,WT,Male,High_Fat_Diet,PBS,None,0
Helicobacteraceae,SRR29054907,0.013000739879505337,221,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,0
Rikenellaceae,SRR29054907,0.013000739879505337,221,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,0
Helicobacteraceae,SRR29055058,0.012989021184475027,334,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,10
Desulfovibrionaceae,SRR29055016,0.012986346371009136,47,Fecal,True Sample,2,JI-679,KO,Female,High_Fat_Diet,HDM,None,13
Lactobacillaceae,SRR29055078,0.012966223787417961,248,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,13
Eggerthellaceae,SRR29055067,0.012959270863001993,324,Fecal,True Sample,2,JI-765,KO,Female,High_Fat_Diet,PBS,None,0
Oscillospiraceae,SRR29055099,0.012946715172266211,11,Fecal,True Sample,2,JI-659,KO,Male,Normal_Chow,HDM,None,10
Eggerthellaceae,SRR29055093,0.012943248832044115,233,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,13
Prevotellaceae,SRR29055166,0.012941723496590205,287,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,0
Eggerthellaceae,SRR29054989,0.012931979250383576,306,Fecal,True Sample,2,JI-753,KO,Male,High_Fat_Diet,HDM,Sham,0
Rikenellaceae,SRR29054906,0.012843884653629433,222,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,13
Eggerthellaceae,SRR29054915,0.01284296555750146,214,Fecal,True Sample,2,JI-759,WT,Female,High_Fat_Diet,PBS,Sham,13
Sutterellaceae,SRR29055154,0.012785442435775451,23,Fecal,True Sample,2,JI-658,KO,Male,Normal_Chow,PBS,None,10
Clostridiaceae,SRR29055002,0.012778386272362175,295,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,13
Oscillospiraceae,SRR29055000,0.012760310330747244,296,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,10
Marinifilaceae,SRR29055019,0.012751159196290572,44,Fecal,True Sample,2,JI-678,WT,Female,Normal_Chow,PBS,None,13
Streptococcaceae,SRR29055008,0.012744265080713678,54,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,10
Desulfovibrionaceae,SRR29054982,0.01273209549071618,313,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,10
Oscillospiraceae,SRR29054989,0.012712793161394023,306,Fecal,True Sample,2,JI-753,KO,Male,High_Fat_Diet,HDM,Sham,0
Rikenellaceae,SRR29055091,0.012709188506473002,235,Fecal,True Sample,2,JI-741,WT,Male,Normal_Chow,HDM,None,0
Peptostreptococcaceae,SRR29054944,0.012702637309460441,25,Fecal,True Sample,2,JI-686,KO,Female,High_Fat_Diet,PBS,VSG,13
Rikenellaceae,SRR29055129,0.012682233021216072,61,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,0
